"filename", "language", "JavaScript React", "JavaScript", "XML", "Markdown", "HTML", "CSS", "JSON", "SQL", "comment", "blank", "total"
"d:\Dev\Beer-Bulletin\beer-bulletin\README.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 19, 56
"d:\Dev\Beer-Bulletin\beer-bulletin\components\Chat\chatCard.jsx", "JavaScript React", 46, 0, 0, 0, 0, 0, 0, 0, 1, 5, 52
"d:\Dev\Beer-Bulletin\beer-bulletin\components\Footer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\Beer-Bulletin\beer-bulletin\components\ImageUpload.jsx", "JavaScript React", 58, 0, 0, 0, 0, 0, 0, 0, 3, 11, 72
"d:\Dev\Beer-Bulletin\beer-bulletin\components\Layout.jsx", "JavaScript React", 51, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"d:\Dev\Beer-Bulletin\beer-bulletin\components\LoadingErrorMessage.jsx", "JavaScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Dev\Beer-Bulletin\beer-bulletin\components\ScalableIcon.jsx", "JavaScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Dev\Beer-Bulletin\beer-bulletin\components\UserProfileCard.jsx", "JavaScript React", 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"d:\Dev\Beer-Bulletin\beer-bulletin\components\ablyChat\AblyChatComponent.jsx", "JavaScript React", 114, 0, 0, 0, 0, 0, 0, 0, 5, 17, 136
"d:\Dev\Beer-Bulletin\beer-bulletin\components\ablyChat\AblyChatComponent.module.css", "CSS", 0, 0, 0, 0, 0, 64, 0, 0, 0, 9, 73
"d:\Dev\Beer-Bulletin\beer-bulletin\components\beerPong\BeerPongGame.jsx", "JavaScript React", 26, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\Dev\Beer-Bulletin\beer-bulletin\components\bottomNav\BotNavButton.jsx", "JavaScript React", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Dev\Beer-Bulletin\beer-bulletin\components\bottomNav\index.jsx", "JavaScript React", 139, 0, 0, 0, 0, 0, 0, 0, 5, 17, 161
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\CreatePostButton.jsx", "JavaScript React", 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignIn.jsx", "JavaScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignOut.jsx", "JavaScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignUp.jsx", "JavaScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\CreatePostForm.jsx", "JavaScript React", 346, 0, 0, 0, 0, 0, 0, 0, 115, 24, 485
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\LoginForm.jsx", "JavaScript React", 245, 0, 0, 0, 0, 0, 0, 0, 8, 18, 271
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\RegisterForm.jsx", "JavaScript React", 305, 0, 0, 0, 0, 0, 0, 0, 4, 23, 332
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\UserSettingForm.jsx", "JavaScript React", 419, 0, 0, 0, 0, 0, 0, 0, 5, 21, 445
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\offerForm.jsx", "JavaScript React", 280, 0, 0, 0, 0, 0, 0, 0, 2, 21, 303
"d:\Dev\Beer-Bulletin\beer-bulletin\components\glassCard.jsx", "JavaScript React", 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"d:\Dev\Beer-Bulletin\beer-bulletin\components\header.jsx", "JavaScript React", 46, 0, 0, 0, 0, 0, 0, 0, 1, 6, 53
"d:\Dev\Beer-Bulletin\beer-bulletin\components\modals\SearchBulletinsFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\Beer-Bulletin\beer-bulletin\components\search-bulletins\bulletinCard.jsx", "JavaScript React", 78, 0, 0, 0, 0, 0, 0, 0, 2, 10, 90
"d:\Dev\Beer-Bulletin\beer-bulletin\components\search-bulletins\singleBulletin.jsx", "JavaScript React", 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\bulletin-card.jsx", "JavaScript React", 192, 0, 0, 0, 0, 0, 0, 0, 2, 11, 205
"d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\offer-card.jsx", "JavaScript React", 202, 0, 0, 0, 0, 0, 0, 0, 3, 12, 217
"d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\single-bulletin.jsx", "JavaScript React", 126, 0, 0, 0, 0, 0, 0, 0, 5, 11, 142
"d:\Dev\Beer-Bulletin\beer-bulletin\db\config\config.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\Dev\Beer-Bulletin\beer-bulletin\db\config\connection.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200602192713-create-posts.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200603040826-create-users.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200603174724-add-posts-associate.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200608061846-create-jobs.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200609023118-add-jobs-associate.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\Offer.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 4, 5, 64
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\Trade.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 12, 4, 56
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\User.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 4, 75
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\index.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 1, 11, 51
"d:\Dev\Beer-Bulletin\beer-bulletin\db\mongoDB\dbConnect.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 9, 46
"d:\Dev\Beer-Bulletin\beer-bulletin\db\mongoDB\models\Message.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Dev\Beer-Bulletin\beer-bulletin\db\schema.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 23
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\offerSeedData.json", "JSON", 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 110
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\tradeSeedData.json", "JSON", 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 52
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\userSeedData.json", "JSON", 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 53
"d:\Dev\Beer-Bulletin\beer-bulletin\middleware\auth.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 10, 5, 62
"d:\Dev\Beer-Bulletin\beer-bulletin\middleware\cloudinary.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\middleware\utils.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 12, 5, 54
"d:\Dev\Beer-Bulletin\beer-bulletin\next.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 16722, 0, 0, 1, 16723
"d:\Dev\Beer-Bulletin\beer-bulletin\package.json", "JSON", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\404.jsx", "JavaScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\Auth\index.jsx", "JavaScript React", 81, 0, 0, 0, 0, 0, 0, 0, 2, 10, 93
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\CreatePost.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\CurrentChats\[id].jsx", "JavaScript React", 64, 0, 0, 0, 0, 0, 0, 0, 3, 10, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\CurrentChats\index.jsx", "JavaScript React", 73, 0, 0, 0, 0, 0, 0, 0, 5, 15, 93
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\SearchBulletins\[id].jsx", "JavaScript React", 57, 0, 0, 0, 0, 0, 0, 0, 1, 10, 68
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\SearchBulletins\index.jsx", "JavaScript React", 43, 0, 0, 0, 0, 0, 0, 0, 4, 13, 60
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\UserProfile\index.jsx", "JavaScript React", 94, 0, 0, 0, 0, 0, 0, 0, 3, 18, 115
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\UsersBulletins\[id].jsx", "JavaScript React", 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\UsersBulletins\index.jsx", "JavaScript React", 109, 0, 0, 0, 0, 0, 0, 0, 4, 17, 130
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\_app.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 8, 9, 62
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\_document.jsx", "JavaScript React", 45, 0, 0, 0, 0, 0, 0, 0, 25, 7, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\auth.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 9, 4, 75
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\createTokenRequest.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\images\img_upload.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\images\s3-connect.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 9, 11, 79
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\[slug].js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 5, 20
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\[slug].js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\[slug].js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\[slug].js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 6, 71
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\index.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 6, 5, 52
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\[slug].js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 2, 4, 56
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\index.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\[slug].js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 8, 88
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\index.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 10, 4, 73
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\[slug].js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 3, 3, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\index.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 6, 5, 79
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\[slug].js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 3, 3, 72
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\index.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 2, 3, 63
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\index.jsx", "JavaScript React", 200, 0, 0, 0, 0, 0, 0, 0, 0, 12, 212
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\login.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\GLTFLoader.js", "JavaScript", 0, 2308, 0, 0, 0, 0, 0, 0, 294, 457, 3059
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ably.min-1.0.13.js", "JavaScript", 0, 301, 0, 0, 0, 0, 0, 0, 11, 0, 312
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.js", "JavaScript", 0, 543, 0, 0, 0, 0, 0, 0, 4, 11, 558
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.wasm.js", "JavaScript", 0, 513, 0, 0, 0, 0, 0, 0, 1, 6, 520
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\beerPong.html", "HTML", 0, 0, 0, 0, 489, 0, 0, 0, 0, 68, 557
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\enable3d.ammoPhysics.0.23.0.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\three.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\public\vercel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\styles\muiImports.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\Beer-Bulletin\beer-bulletin\styles\theme.jsx", "JavaScript React", 92, 0, 0, 0, 0, 0, 0, 0, 4, 4, 100
"d:\Dev\Beer-Bulletin\beer-bulletin\util\getImageData.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 1, 22
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\AblyReactEffect.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 1, 9, 36
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useAsynFetch.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useFramerScroll.jsx", "JavaScript React", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useS3Connect.jsx", "JavaScript React", 99, 0, 0, 0, 0, 0, 0, 0, 9, 17, 125
"d:\Dev\Beer-Bulletin\beer-bulletin\util\pathAccessS3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"Total", "-", 3930, 5328, 4, 37, 489, 67, 16978, 2, 664, 1185, 28684